Indonesia,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kep. Bangka Belitung,Kep. Riau,Lampung,Maluku,Maluku Utara,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua,Papua Barat,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara,Satuan,Tanggal,Sumber
143455.0,129615.0,147617.0,133534.0,115569.0,134371.0,197306.0,103247.0,129805.0,137929.0,126651.0,127524.0,118838.0,121879.0,134374.0,165755.0,151243.0,448084.5272727273,117135.0,131654.0,124713.0,116145.0,102695.0,135558.0,444463.96,179589.0,262803.3347619048,109979.0,124133.0,118018.0,122615.0,144704.0,124353.0,136470.0,Rp/kapita/bulan,12/31/2004,Badan Pusat Statistik (BPS)
165565.0,172084.0,152519.0,150209.0,128541.0,148476.0,237735.0,120670.0,141157.0,133701.0,130013.0,128598.0,124804.0,128598.0,136309.0,189851.0,186531.0,215803.0,125319.0,161114.0,137010.0,118891.0,98263.0,157074.0,444463.96,167620.0,262803.3347619048,109503.0,131524.0,110978.0,143095.0,140962.0,138444.0,130929.0,Rp/kapita/bulan,12/31/2005,Badan Pusat Statistik (BPS)
174290.0,198858.0,161763.0,160688.0,160641.0,170720.0,250298.0,130668.0,154911.0,149673.0,142337.0,145205.0,160836.0,147915.0,151905.0,207282.0,212094.0,228610.0,144934.0,173201.0,150812.0,140712.0,114982.0,180201.0,202340.0,185063.0,130480.0,120786.0,147443.0,124264.0,162677.0,154218.0,160607.0,145285.0,Rp/kapita/bulan,12/31/2006,Badan Pusat Statistik (BPS)
187942.0,218143.0,165954.0,169485.0,170802.0,184965.0,266874.0,138181.0,172349.0,165734.0,154111.0,153145.0,142529.0,161514.0,162266.0,220368.0,235379.0,248241.0,157052.0,179552.0,165039.0,150026.0,126389.0,202379.0,205998.0,214034.0,135242.0,126623.0,154006.0,130625.0,178132.0,180669.0,178209.0,156550.0,Rp/kapita/bulan,12/31/2007,Badan Pusat Statistik (BPS)
204895.98,248627.0,197325.0,191943.0,202428.0,202362.0,298237.0,162325.0,197089.0,190788.0,181877.0,179819.0,168942.0,190067.0,197325.0,244084.0,254112.0,276400.0,186290.0,200665.0,194262.0,182024.0,161639.0,254663.0,270990.0,240811.0,159585.0,157761.0,179137.0,168947.0,203514.0,205240.0,210893.0,180744.0,Rp/kapita/bulan,12/31/2008,Badan Pusat Statistik (BPS)
222123.09,272155.0,232234.0,222292.0,231990.0,220830.0,320333.0,203418.0,217161.0,220068.0,201651.0,202208.0,189184.0,212343.0,212268.0,269275.0,280862.0,332602.0,212755.0,233062.0,217349.0,213007.0,167492.0,282776.0,309933.0,270504.0,184301.0,187108.0,209328.0,200787.0,230624.0,230683.0,235560.0,208822.0,Rp/kapita/bulan,12/31/2009,Badan Pusat Statistik (BPS)
232989.0,278389.0,208152.0,208023.0,225857.0,224258.0,331169.0,171371.0,216187.0,201138.0,192435.0,199327.0,189407.0,210850.0,215466.0,285218.0,286334.0,295095.0,202414.0,226030.0,212982.0,196185.0,175308.0,259128.0,294727.0,256112.0,171356.0,163089.0,203237.0,165208.0,222898.0,230823.0,221687.0,194334.0,Rp/kapita/bulan,12/31/2010,Badan Pusat Statistik (BPS)
319796.60105263157,320013.0,249997.0,239767.0,263050.0,260173.0,379052.0,203907.0,259257.0,231438.0,222327.0,233202.0,226175.0,262459.0,269940.0,347577.0,352213.0,356873.0,248645.0,280693.0,242112.0,242831.0,211786.0,284388.0,333485.0,300791.0,198792.0,190545.0,246392.0,195306.0,262102.0,277784.0,252377.0,215260.0,Rp/kapita/bulan,12/31/2011,Badan Pusat Statistik (BPS)
319796.60105263157,321893.0,254221.0,251161.0,283252.0,270110.0,392571.0,212476.0,273267.0,242104.0,233769.0,243783.0,239162.0,269714.0,277407.0,363887.0,382412.0,363450.0,263088.0,295904.0,250184.0,248758.0,222507.0,297502.0,354626.0,310603.0,207072.0,195627.0,266718.0,203333.0,271738.0,292052.0,259668.0,223883.0,Rp/kapita/bulan,12/31/2012,Badan Pusat Statistik (BPS)
319796.60105263157,348172.0,284009.0,288733.0,327358.0,303843.0,434322.0,233942.0,307885.0,276825.0,261881.0,273758.0,270306.0,300329.0,307698.0,417902.0,427081.0,398903.0,295395.0,346599.0,291352.0,278514.0,251080.0,339096.0,397003.0,350129.0,228944.0,217547.0,301000.0,226990.0,311063.0,336606.0,291058.0,250249.0,Rp/kapita/bulan,12/31/2013,Badan Pusat Statistik (BPS)
